Airport Code,Airport Name,City Name,coordinates
142,RTL,Spirit Lake,Spirit Lake,"43.416667, -95.1"
143,AGN,Angoon,Angoon,"57.5, -134.583333"
144,AUO,Auburn-Opelika,Auburn,"32.616667, -85.433333"
145,BVY,Beverly Municiple Airport,Beverly,"42.516667, -70.833333"
146,ADS,Addison Airport,Dallas,"32.968611, -96.836389"
147,FWH,Fort Worth NAS Jrb/Carswell Field,"Fort Worth, TX","32.769167, -97.441667"
148,FLV,Sherman AAF,Fort Leavenworth,"19.833333, -72.5"
149,EVV,Evansville Regional Airport,"Evansville, IN","38.036944, -87.5325"
150,HST,AFB,Homestead,"25.483333, -80.483333"
151,PCE,Painter Creek,Painter Creek,"47.8, 10.216667"
152,BLF,Princeton,Princeton,"37.3, -81.2"
153,RDM,Roberts Field,Redmond,"44.25, -121.15"
154,SUU,Travis AFB,Fairfield,"5.816667, -54.816667"
155,AIB,Anita Bay,Anita Bay,"56.233333, -132.383333"
156,BHB,Bar Harbor,Bar Harbor,"44.45, -68.366667"
157,BXA,George R Carr,Bogalusa,"30.783333, -89.866667"
158,IWD,Gogebic County,Ironwood,"46.533333, -90.133333"
159,KLN,Larsen SPB,Larsen Bay,"57.533333, -154.0"
160,AOO,Martinsburg,Martinsburg,"40.3, -78.316667"
161,PVF,Placerville,Placerville,"38.716667, -120.8"
162,SAA,Shively Field,Saratoga,"41.45, -106.8"
163,LMS,Winston County,Louisville,"33.15, -89.066667"
164,AEL,Albert Lea,Albert Lea,"43.683333, -93.366667"
165,CVS,Cannon AFB,Clovis,"19.15, -72.55"
166,AXV,Neil Armstrong,Wapakoneta,"40.566667, -84.183333"
167,BLW,Bellows Field,Waimanalo,"21.35, -157.716667"
168,HCA,Howard County,Big Spring,"32.3, -101.433333"
169,JCI,New Century Aircenter Airport,"Olathe, KS","38.830833, -94.890278"
170,BFR,Virgil I Grissom Muni,Bedford,"38.85, -86.483333"
171,SCJ,Smith Cove,Smith Cove,"55.4375, -132.341667"
172,TLT,Tuluksak,Tuluksak,"37.966667, 39.533333"
173,LBT,Lumberton,Lumberton,"34.6, -79.066667"
174,AIN,Wainwright,Wainwright,"70.633333, -160.033333"
175,BIC,Big Creek,Big Creek,"57.666667, -157.583333"
176,GDV,Dawson Community,Glendive,"47.133333, -104.683333"
177,LGF,Laguna AAF,Yuma,"-1.6, 138.716667"
178,UGB,Ugashik Bay,Pilot Point,"57.433333, -157.75"
179,CTW,Cottonwood,Cottonwood,"34.733333, -112.033333"
180,MXC,San Juan County,Monticello,"37.866667, -109.35"
181,GOL,State,Gold Beach,"42.416667, -124.416667"
182,MLF,Milford,Milford,"38.433333, -113.016667"
183,KMY,Moser Bay,Moser Bay,"57.0, -154.166667"
184,FOK,Suffolk County,Westhampton,"40.833333, -72.616667"
185,KZH,Kizhuyak,Kizhuyak,"57.583333, -153.15"
186,ISP,Long Island Mac Arthur,"Islip, NY","40.795278, -73.100278"
187,ALM,Municipal,Alamogordo,"32.833333, -106.0"
188,TTN,Trenton Mercer Airport,"Trenton, NJ","40.276667, -74.813333"
189,BMT,Beaumont Muni,Beaumont,"18.5, -73.95"
190,JAR,Jahrom,Jahrom,"34.133333, -118.016667"
191,SBA,Municipal,"Santa Barbara, CA","33.426111, -119.840278"
192,JHY,Hyatt Regency H/P,Cambridge,"42.366667, -71.102778"
193,WRG,Wrangell SPB,Wrangell,"56.466667, -132.383333"
194,AIY,Bader Field,Atlantic City,"39.366667, -74.45"
195,SEP,Clark Field,Stephenville,"32.216667, -98.183333"
196,MEO,Dare County Regional,Manteo,"35.911111, -75.7"
197,EKX,Elizabethtown,Elizabethtown,"37.7, -85.866667"
198,HIF,Hill Afb,Ogden,"41.123889, -111.973056"
199,TWE,Taylor,Taylor,"56.15, -1.666667"
200,NXX,Willow Grove NAS,Willow Grove,"-38.083333, 146.2"
201,DWN,Downtown Airpark,Oklahoma City,"35.449167, -97.533056"
202,FLX,Municipal,Fallon,"39.466667, -118.769444"
203,AUK,Alakanuk,Alakanuk,"62.683333, -164.633333"
204,DRF,Drift River,Drift River,"60.583333, -152.15"
205,ITO,Hilo International,Hilo,"19.716667, -155.05"
206,KCL,Lagoon,Chignik,"56.3, -158.533333"
207,TOI,Municipal,Troy,"54.912778, 70.348056"
208,EDA,Edna Bay,Edna Bay,"55.95, -133.666667"
209,JDY,Heliport,Downey,"33.956389, -118.120556"
210,SKF,Kelly AFB,San Antonio,"6.233333, -76.733333"
211,OIC,Eaton,Norwich,"42.983333, -80.6"
212,DLF,Laughlin Afb,Del Rio,"29.516666999999998, -100.0"
213,JMD,Market Centre H/P,Dallas,"7.716667, 40.916667"
214,APF,Naples,Naples,"26.15, -81.766667"
215,MQT,Sawyer International,Marquette,"46.533333, -87.566667"
216,WTL,Tuntutuliak,Tuntutuliak,"13.45, -15.8"
217,HNH,Hoonah,Hoonah,"58.1, -135.433333"
218,MKG,Muskegon,Muskegon,"43.166667, -86.233333"
219,WHP,Whiteman,Los Angeles,"34.259167, -118.413333"
220,DBQ,Municipal,Dubuque,"42.4, -90.716667"
221,KNW,New Stuyahok,New Stuyahok,"59.533333, -157.333333"
222,OME,Nome,Nome,"64.516667, -165.433333"
223,MIA,Miami International Airport,Miami,"25.783333, -80.266667"
224,RTE,Marguerite Bay,Marguerite Bay,"55.7, -131.633333"
225,RPX,Roundup,Roundup,"46.433333, -108.533333"
226,SIK,Memorial,Sikeston,"36.883333, -89.566667"
227,FXY,Municipal,Forest City,"43.266667, -93.65"
228,RIW,Riverton Regional,"Riverton, WY","43.064167, -108.459722"
