Year,Month,usg_apt,flights_count,total_passengers
1990,April,SYA,1,28
1990,April,SYR,4,21170
1990,April,TPA,15,72118
1990,April,TUL,1,120
1990,April,TUS,3,9937
1990,April,TYS,1,200
1990,May,ABE,1,30
1990,May,ABQ,2,236
1990,May,ACY,3,1830
1990,May,ALB,1,84
1990,May,ANC,26,125798
1990,May,ATL,24,164170
1990,May,AUS,1,60
1990,May,BDL,12,3312
1990,May,BGR,34,55613
1990,May,BHM,1,138
1990,May,BLI,1,28
1990,May,BNA,3,17887
1990,May,BOS,52,266208
1990,May,BUF,3,14114
1990,May,BWI,13,40615
1990,May,CHA,1,113
1990,May,CHS,3,653
1990,May,CLE,6,24445
1990,May,CLM,1,2294
1990,May,CLT,2,16324
1990,May,CMH,1,52
1990,May,CVG,6,28635
1990,May,DEN,8,20620
1990,May,DFW,27,217768
1990,May,DTW,22,113233
1990,May,ERI,1,6048
1990,May,EWR,41,203913
1990,May,FLL,20,43761
1990,May,GEG,2,14072
1990,May,GSO,1,90
1990,May,GUM,19,104275
1990,May,HNL,50,419822
1990,May,IAD,15,104659
1990,May,IAG,1,25
1990,May,IAH,33,175388
1990,May,IND,14,4262
1990,May,JAX,1,206
1990,May,JFK,196,1309914
1990,May,JON,2,1094
1990,May,LAS,10,31535
1990,May,LAX,101,705741
1990,May,LFT,1,80
1990,May,LGA,7,123413
1990,May,MCI,2,1471
1990,May,MCO,52,110453
1990,May,MDW,2,7471
1990,May,MEM,2,2761
1990,May,MFE,1,3971
1990,May,MIA,142,690593
1990,May,MKE,2,7391
1990,May,MSP,10,54146
1990,May,MSY,11,14303
1990,May,OAK,1,503
1990,May,ORD,53,385714
1990,May,ORF,1,90
1990,May,PBI,1,1713
1990,May,PDX,4,23005
1990,May,PHL,17,73427
1990,May,PHX,6,6246
1990,May,PIE,5,12747
1990,May,PIT,3,6255
1990,May,PPG,4,6240
1990,May,PSP,1,551
1990,May,RDU,4,19315
1990,May,RNO,5,6794
1990,May,ROC,3,16484
1990,May,ROR,3,4155
1990,May,RSW,3,1413
1990,May,SAN,1,4461
1990,May,SAT,3,12382
1990,May,SAV,2,453
1990,May,SDF,1,182
1990,May,SEA,18,146373
1990,May,SFO,45,339479
1990,May,SJC,3,16738
1990,May,SJU,39,144415
1990,May,SLC,3,31856
1990,May,SPI,1,163
1990,May,SPN,12,67466
1990,May,STL,4,14620
1990,May,STT,1,26
1990,May,STX,4,550
1990,May,SYR,3,24552
1990,May,TPA,13,51796
1990,May,TUS,2,9062
1990,May,TYS,1,237
1990,June,ABQ,1,421
1990,June,ACY,4,3211
1990,June,ANC,30,145031
1990,June,ATL,22,182400
1990,June,AUS,2,287
1990,June,BDL,4,2146
1990,June,BGR,31,76378
1990,June,BHM,1,271
1990,June,BLI,1,33
1990,June,BNA,2,15062
1990,June,BOI,1,144
1990,June,BOS,54,298108
1990,June,BUF,4,14334
1990,June,BWI,20,47179
1990,June,CHS,2,123
1990,June,CLE,6,25772
1990,June,CLM,1,2243
1990,June,CLT,3,17277
1990,June,CVG,5,31614
1990,June,DEN,10,25297
1990,June,DFW,29,241095
1990,June,DTW,26,141808
1990,June,ERI,1,5970
1990,June,EWR,45,241742
1990,June,FAR,1,241
1990,June,FLL,20,37938
1990,June,GEG,2,20013
1990,June,GTF,1,277
1990,June,GUM,19,117593
1990,June,HNL,53,483579
1990,June,IAD,24,125681
1990,June,IAG,2,246
1990,June,IAH,31,194948
1990,June,IND,11,2920
1990,June,JFK,216,1578326
1990,June,JON,1,1348
1990,June,LAS,8,20089
1990,June,LAX,106,806912
1990,June,LGA,8,121147
1990,June,LRF,1,300
1990,June,MCI,1,1260
1990,June,MCO,52,112484
1990,June,MDW,1,8135
1990,June,MEM,2,3634
1990,June,MFE,1,3456
1990,June,MIA,146,758565
1990,June,MKE,6,10593
1990,June,MSP,13,65356
1990,June,MSY,11,17731
1990,June,MWH,1,317
1990,June,OKC,1,156
1990,June,ORD,63,472060
1990,June,ORF,2,167
1990,June,PBI,1,810
1990,June,PDX,8,27340
1990,June,PHL,18,76875
1990,June,PHX,6,7693
1990,June,PIE,5,10044
1990,June,PIT,4,10498
1990,June,PPG,5,6645
1990,June,RDU,7,20203
1990,June,RNO,2,4525
1990,June,ROC,2,16804
1990,June,ROR,2,4955
1990,June,RSW,3,988
1990,June,SAN,4,5556
1990,June,SAT,4,13156
1990,June,SEA,21,184953
1990,June,SFO,42,377949
1990,June,SJC,3,16901
1990,June,SJU,42,154329
1990,June,SLC,3,33371
1990,June,SPN,10,75553
1990,June,STL,5,26618
1990,June,STT,1,82
1990,June,SYR,2,25435
1990,June,TPA,12,35644
1990,June,TUS,3,8676
1990,July,ABE,1,143
1990,July,ABQ,1,284
1990,July,ACY,6,2807
1990,July,ADW,1,125
1990,July,ANC,28,146393
1990,July,ATL,26,193912
1990,July,BDL,10,3405
1990,July,BGR,43,98171
1990,July,BIS,1,91
1990,July,BLI,1,131
1990,July,BNA,3,14693
1990,July,BOS,63,330166
